                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3548,                 2.9874,                 1.3863,                 0.9346,                0.04432,                0.31262,                0.18893,                   1.28,                 2.9601,                 1.3825,             0.00036426,             0.00036426,             0.00036426
                      2,                 1.3164,                 2.0695,                 1.3264,                0.31756,                0.40737,                0.34333,                0.20424,                 1.4579,                 2.2012,                 1.6036,             0.00069823,             0.00069823,             0.00069823
                      3,                 1.3187,                 1.9639,                 1.3356,                0.58075,                0.28837,                0.29251,                0.16262,                 1.4351,                 2.3793,                 1.4652,             0.00099554,             0.00099554,             0.00099554
                      4,                 1.2825,                 1.8477,                 1.3076,                0.47652,                0.31816,                0.35526,                0.20143,                 1.4331,                 1.7454,                 1.4761,             0.00094602,             0.00094602,             0.00094602
                      5,                 1.2633,                 1.7795,                 1.2957,                0.45919,                0.41716,                0.42947,                0.26677,                 1.2942,                 1.7678,                 1.4147,             0.00089102,             0.00089102,             0.00089102
                      6,                 1.2473,                 1.6257,                 1.2794,                0.40028,                0.46016,                0.44916,                0.26663,                 1.3258,                 1.6356,                 1.4236,             0.00083603,             0.00083603,             0.00083603
                      7,                 1.2103,                 1.5736,                  1.265,                0.46732,                0.51808,                0.48943,                0.30129,                 1.2549,                 1.5505,                 1.3832,             0.00078103,             0.00078103,             0.00078103
                      8,                 1.1971,                 1.4948,                 1.2489,                0.53702,                0.47462,                0.47428,                0.28704,                  1.327,                 1.5204,                 1.4025,             0.00072604,             0.00072604,             0.00072604
                      9,                 1.1874,                 1.4521,                 1.2353,                 0.4818,                0.56118,                0.53266,                0.33884,                 1.2252,                 1.4749,                 1.3624,             0.00067104,             0.00067104,             0.00067104
                     10,                 1.1333,                 1.3844,                  1.199,                0.57459,                0.55724,                0.53141,                0.33743,                 1.2417,                 1.4035,                 1.3765,             0.00061605,             0.00061605,             0.00061605
                     11,                  1.192,                 1.6065,                 1.2693,                0.48231,                 0.5315,                0.51931,                0.31917,                 1.2737,                 1.4056,                 1.3883,             0.00056105,             0.00056105,             0.00056105
                     12,                  1.131,                 1.4535,                 1.2488,                0.52822,                0.59106,                0.54209,                0.34536,                 1.2008,                 1.3773,                 1.3421,             0.00050606,             0.00050606,             0.00050606
                     13,                 1.1114,                 1.3644,                  1.221,                0.49379,                0.50669,                 0.5108,                0.32417,                  1.253,                 1.3676,                  1.342,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.0916,                 1.3504,                 1.2179,                0.55294,                0.55282,                0.56053,                0.35512,                 1.2625,                 1.3274,                 1.3637,             0.00039607,             0.00039607,             0.00039607
                     15,                  1.087,                 1.3164,                  1.204,                0.52454,                 0.6144,                0.55489,                0.35078,                 1.2468,                 1.3102,                 1.3478,             0.00034108,             0.00034108,             0.00034108
                     16,                 1.0341,                 1.1839,                 1.1632,                0.53088,                0.57306,                0.53617,                0.34968,                 1.2102,                 1.3009,                 1.3322,             0.00028608,             0.00028608,             0.00028608
                     17,                 1.0066,                  1.158,                   1.16,                0.53996,                0.58016,                0.55872,                0.36516,                  1.196,                 1.2924,                 1.2941,             0.00023109,             0.00023109,             0.00023109
                     18,                0.98881,                 1.1327,                 1.1523,                0.57887,                0.55322,                0.57742,                0.37998,                 1.1803,                 1.2678,                 1.2938,             0.00017609,             0.00017609,             0.00017609
                     19,                0.98685,                 1.0612,                 1.1337,                0.58469,                0.54879,                0.56621,                0.35975,                 1.2105,                 1.2609,                 1.3042,              0.0001211,              0.0001211,              0.0001211
                     20,                 0.9761,                 1.0286,                 1.1219,                0.58083,                0.55921,                0.57904,                0.38143,                  1.162,                 1.2278,                 1.2788,             6.6105e-05,             6.6105e-05,             6.6105e-05
